target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
10,4,720,540,true,44,11,6,0.864616,0.831142,1.538341,1.781518,4.496942,0.255683,0.610703,1.032459,25,15,9,13,15,91,91,77,77,132,44,30,44,,44,0,216,0,859,52,0,0,0,0,0,0,0,1848
10,5,720,540,true,43,12,5,0.931610,0.535896,1.216597,2.566125,8.030445,0.368053,0.464493,0.920678,32,10,7,18,13,90,90,80,80,130,43,35,43,,43,0,48,0,676,36,0,0,0,0,0,0,0,1829
11,0,720,540,true,27,9,7,0.805379,13.603721,27.657112,1.354481,4.192493,0.300320,0.509831,1.773348,25,11,9,10,10,94,94,65,65,99,36,28,36,,27,0,44,0,503,7,0,0,0,0,0,0,0,2858
11,1,720,540,true,49,12,6,0.918531,0.825011,1.552968,2.784204,7.611454,0.283545,0.543410,1.239193,30,13,13,15,14,101,101,85,85,140,49,34,49,,49,0,48,0,631,48,0,0,0,0,0,0,0,1918
11,2,720,540,true,26,9,4,0.672155,0.787890,1.731712,4.376287,12.082373,0.251579,0.777970,1.473891,26,13,7,8,5,80,80,59,59,71,26,31,26,,26,0,50,0,249,65,0,0,0,0,0,0,0,1500
11,3,720,540,false,0,0,0,,,,2.313522,11.278432,0.442513,,,18,14,16,3,1,93,93,52,52,59,19,30,0,,0,0,116,0,517,88,0,0,0,0,0,0,0,1299
11,4,720,540,true,37,10,6,0.804927,0.624980,1.546728,1.440350,4.624680,0.331066,0.484580,1.326988,20,9,10,11,12,77,77,62,62,110,37,23,37,,37,0,175,0,628,44,0,0,0,0,0,0,0,1691
11,5,720,540,true,43,11,5,0.845859,0.834100,1.609954,2.312032,7.270409,0.240700,0.474041,1.261721,21,8,8,16,14,83,83,67,67,128,44,23,44,,43,0,231,0,662,46,0,0,0,0,0,0,0,2203
12,0,720,540,true,47,10,9,0.899163,0.849392,1.412733,1.983548,6.382115,0.346836,0.389230,1.062191,27,20,10,11,14,99,99,82,82,129,47,32,47,,47,0,54,0,738,23,0,0,0,0,0,0,0,1987
12,1,720,540,true,35,10,6,0.712883,0.713575,1.354543,1.814303,6.735619,0.457404,0.592082,1.284552,37,17,9,16,10,103,103,89,89,123,35,43,35,,35,0,62,0,809,34,0,0,0,0,0,0,0,1744
