target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
5,4,720,540,true,26,10,5,0.850047,0.248200,0.453839,2.546991,6.894325,0.432351,0.244189,0.586000,22,13,11,15,10,84,84,71,71,120,38,28,38,26,26,0,193,0,744,70,0,0,0,0,0,0,0,1539
5,5,720,540,true,27,10,4,0.803555,0.266554,0.442401,2.114203,9.171305,0.470053,0.246576,0.619737,34,15,9,15,10,97,97,83,83,118,40,39,40,27,27,0,72,0,542,20,0,0,0,0,0,0,0,1694
6,0,720,540,false,0,0,0,,,,1.747572,6.450007,0.313823,,,29,15,27,6,2,116,116,79,79,95,22,42,0,,0,0,224,0,811,38,0,0,0,0,0,0,0,1497
6,1,720,540,true,31,10,5,0.787969,0.360990,0.642881,1.661457,4.700495,0.366802,0.399551,0.809193,28,9,9,13,11,90,90,70,70,110,37,31,37,31,31,0,205,0,793,43,0,0,0,0,0,0,0,1540
6,2,720,540,true,38,12,5,0.907213,0.410219,0.914241,2.844337,8.310360,0.239975,0.405035,0.959933,27,11,11,19,13,111,111,81,81,142,48,31,47,38,38,0,52,0,605,33,0,0,0,0,0,0,0,1646
6,3,720,540,true,21,12,5,0.795896,12.038601,18.356474,1.380818,4.790859,0.327603,12.518936,41.535892,30,10,19,5,9,104,104,73,73,99,33,37,31,21,21,0,36,0,522,26,0,0,0,0,0,0,0,1568
6,4,720,540,true,36,12,5,0.924980,0.345640,0.664938,2.335665,6.900171,0.306531,0.327476,0.910504,33,10,13,15,20,115,115,91,91,161,49,39,49,36,36,0,56,0,783,47,0,0,0,0,0,0,0,1807
6,5,720,540,true,34,11,5,0.856574,0.331267,0.581436,2.574640,7.552796,0.328960,0.306601,0.770525,28,10,8,16,16,103,103,78,78,138,46,31,46,34,34,0,218,0,759,53,0,0,0,0,0,0,0,1652
7,0,720,540,false,0,0,0,,,,2.224593,7.526350,0.341873,,,22,17,34,3,1,126,126,77,77,98,24,33,0,,0,0,206,0,793,57,0,0,0,0,0,0,0,1467
7,1,720,540,true,24,9,5,0.678511,0.288776,0.521263,1.219858,4.022380,0.341407,0.352383,0.826467,19,9,9,11,9,78,78,57,57,96,35,21,35,24,24,0,153,0,631,34,0,0,0,0,0,0,0,1404
7,2,720,540,true,37,12,4,0.885443,0.396462,0.678010,3.495049,8.062184,0.284484,0.402610,0.973726,31,6,8,17,14,88,88,76,76,129,42,34,42,37,37,0,48,0,487,25,0,0,0,0,0,0,0,1664
7,3,720,540,true,20,6,5,0.445874,0.595828,1.106698,1.576234,4.246984,0.285468,0.515624,0.903421,31,17,18,4,5,93,93,75,75,85,32,39,26,20,20,0,93,0,847,29,0,0,0,0,0,0,0,1487
7,4,720,540,true,32,11,4,0.824737,0.373680,0.524056,2.358997,7.544600,0.280908,0.344171,0.637553,31,10,9,12,14,91,91,76,76,120,39,35,39,32,32,0,42,0,543,33,0,0,0,0,0,0,0,1730
7,5,720,540,true,38,11,6,0.856537,0.423120,0.806488,2.573871,7.741992,0.282487,0.391482,0.864696,27,18,8,13,15,107,107,81,81,133,45,32,45,38,38,0,92,0,579,43,0,0,0,0,0,0,0,1765
8,0,720,540,false,0,0,0,,,,1.815820,5.981033,0.279807,,,36,18,33,3,0,138,138,90,90,93,15,54,0,,0,0,60,0,549,29,0,0,0,0,0,0,0,1718
8,1,720,540,true,35,12,5,0.913490,0.476315,0.815498,2.036967,5.637734,0.273951,0.411224,0.906485,19,9,10,15,11,82,82,64,64,118,43,21,42,35,35,0,187,0,580,26,0,0,0,0,0,0,0,1637
8,2,720,540,true,32,11,4,0.827998,0.319003,0.499675,2.828427,8.633536,0.246495,0.309462,0.554155,16,11,16,12,9,75,75,64,64,115,37,20,37,32,32,0,208,0,623,21,0,0,0,0,0,0,0,1480
8,3,720,540,true,33,9,8,0.849524,0.373905,0.804065,1.577979,6.822608,0.223764,0.397350,0.731221,26,10,11,7,17,94,94,71,71,121,41,29,40,33,33,0,36,0,508,20,0,0,0,0,0,0,0,1540
8,4,720,540,true,36,12,5,0.913847,0.450619,0.848908,1.889258,5.203880,0.314318,0.374724,0.774226,31,11,6,17,14,102,102,79,79,130,44,34,44,36,36,0,50,0,523,23,0,0,0,0,0,0,0,1759
8,5,720,540,true,33,11,5,0.852862,0.326782,0.602163,2.596018,7.426957,0.288414,0.323681,0.845775,30,11,11,17,14,101,101,83,83,140,46,34,46,33,33,0,50,0,719,53,0,0,0,0,0,0,0,1733
9,0,720,540,false,0,0,0,,,,2.231846,6.749853,0.443398,,,31,19,38,1,0,120,120,89,89,98,27,50,0,,0,0,205,0,887,51,0,0,0,0,0,0,0,1501
9,1,720,540,true,40,12,6,0.914229,0.335550,0.684186,2.156291,5.919042,0.283007,0.352397,0.668439,29,11,8,15,21,108,108,84,84,156,51,31,51,40,40,0,48,0,572,46,0,0,0,0,0,0,0,1760
9,2,720,540,true,32,11,4,0.794768,0.288462,0.505336,2.212831,8.981440,0.269786,0.322650,0.663698,17,15,6,18,12,96,96,68,68,129,40,24,40,32,32,0,188,0,694,45,0,0,0,0,0,0,0,1577
9,3,720,540,true,34,10,8,0.863249,0.463580,0.796847,1.987571,6.418397,0.327275,0.438229,0.895532,20,13,14,8,16,80,80,71,71,129,44,25,44,34,34,0,194,0,751,45,0,0,0,0,0,0,0,1513
9,4,720,540,true,41,12,6,0.870649,0.466301,0.834368,1.830819,5.457758,0.268885,0.428740,0.843329,28,8,12,15,18,101,101,81,81,149,50,31,50,41,41,0,237,0,837,46,0,0,0,0,0,0,0,1685
9,5,720,540,true,37,11,5,0.819250,0.389625,0.783148,2.269434,8.077709,0.338695,0.353154,0.703695,34,13,10,16,17,112,112,90,90,149,50,38,50,37,37,0,42,0,593,53,0,0,0,0,0,0,0,1773
10,0,720,540,true,23,7,7,0.696367,0.326399,0.561608,1.469666,5.055959,0.514115,0.329844,0.658022,37,19,24,7,10,136,136,97,97,128,40,46,37,23,23,0,60,0,888,33,0,0,0,0,0,0,0,1713
10,1,720,540,true,30,11,6,0.911795,0.315698,0.574160,1.978528,8.266633,0.360088,0.248512,0.552999,23,19,15,17,8,102,102,82,82,132,45,30,45,30,30,0,56,0,700,47,0,0,0,0,0,0,0,1727
10,2,720,540,true,31,11,5,0.877637,0.277593,0.556916,2.721503,7.291828,0.294262,0.274569,0.675848,25,14,13,16,8,95,95,76,76,120,42,30,42,31,31,0,213,0,848,75,0,0,0,0,0,0,0,1715
10,3,720,540,true,21,14,5,0.832603,81.519905,231.396027,2.307825,8.638195,0.383170,42.566296,NaN,25,18,31,5,2,107,107,81,81,103,40,35,25,21,21,0,218,0,934,58,0,0,0,0,0,0,0,1678
10,4,720,540,true,34,11,5,0.864616,0.323630,0.656328,1.781518,4.496942,0.255683,0.263802,0.730730,25,15,9,13,15,91,91,77,77,132,44,30,44,34,34,0,216,0,859,52,0,0,0,0,0,0,0,1703
10,5,720,540,true,33,12,5,0.931610,0.295056,0.501701,2.566125,8.030445,0.368053,0.284109,0.532721,32,10,7,18,13,90,90,80,80,130,43,35,43,33,33,0,48,0,676,36,0,0,0,0,0,0,0,1597
11,0,720,540,true,20,9,7,0.805379,7.162300,14.235291,1.354481,4.192493,0.300320,0.473056,0.928062,25,11,9,10,10,94,94,65,65,99,36,28,36,20,20,0,44,0,503,7,0,0,0,0,0,0,0,1540
11,1,720,540,true,36,12,5,0.918531,0.464936,0.924551,2.784204,7.611454,0.283545,0.411495,1.216823,30,13,13,15,14,101,101,85,85,140,49,34,49,36,36,0,48,0,631,48,0,0,0,0,0,0,0,1713
11,2,720,540,true,20,9,4,0.672155,0.630687,0.968120,4.376287,12.082373,0.251579,0.563194,1.227674,26,13,7,8,5,80,80,59,59,71,26,31,26,20,20,0,50,0,249,65,0,0,0,0,0,0,0,1483
11,3,720,540,false,0,0,0,,,,2.313522,11.278432,0.442513,,,18,14,16,3,1,93,93,52,52,59,19,30,0,,0,0,116,0,517,88,0,0,0,0,0,0,0,1357
11,4,720,540,true,28,10,5,0.804927,0.402365,0.663775,1.440350,4.624680,0.331066,0.401292,0.924214,20,9,10,11,12,77,77,62,62,110,37,23,37,28,28,0,175,0,628,44,0,0,0,0,0,0,0,1519
11,5,720,540,true,32,11,5,0.845859,0.445188,0.777921,2.312032,7.270409,0.240700,0.402972,1.104029,21,8,8,16,14,83,83,67,67,128,44,23,44,32,32,0,231,0,662,46,0,0,0,0,0,0,0,1572
12,0,720,540,true,35,10,9,0.899163,0.490952,0.756911,1.983548,6.382115,0.346836,0.341542,0.696936,27,20,10,11,14,99,99,82,82,129,47,32,47,35,35,0,54,0,738,23,0,0,0,0,0,0,0,1594
12,1,720,540,true,28,9,5,0.665959,0.411913,0.909807,1.814303,6.735619,0.457404,0.383320,0.988368,37,17,9,16,10,103,103,89,89,123,35,43,35,28,28,0,62,0,809,34,0,0,0,0,0,0,0,1636
12,2,720,540,true,31,11,6,0.814122,0.309710,0.478468,3.312273,7.522285,0.321145,0.249275,0.705515,21,14,8,15,11,85,85,69,69,119,38,27,38,31,31,0,74,0,521,35,0,0,0,0,0,0,0,1507
12,3,720,540,false,0,0,0,,,,1.584672,5.890164,0.405267,,,23,19,30,2,0,101,101,74,74,85,16,40,0,,0,0,203,0,803,29,0,0,0,0,0,0,0,1397
12,4,720,540,true,38,12,5,0.932634,0.350114,0.723285,2.398353,7.818914,0.252596,0.339320,0.674211,14,15,14,18,11,95,95,72,72,141,47,20,47,38,38,0,222,0,617,22,0,0,0,0,0,0,0,1681
12,5,720,540,true,36,12,4,0.891167,0.326164,0.712730,2.285526,7.535857,0.384498,0.303232,0.822891,27,16,12,16,18,112,112,89,89,160,49,33,49,36,36,0,239,0,1012,63,0,0,0,0,0,0,0,1757
13,0,720,540,false,0,0,0,,,,2.066897,6.385230,0.551908,,,23,18,14,9,6,84,84,70,70,97,19,32,0,,0,0,60,0,723,24,0,0,0,0,0,0,0,1329
13,1,720,540,true,32,10,5,0.771574,0.459683,0.871466,1.949896,6.439584,0.331808,0.392822,0.693102,15,15,9,16,7,68,68,62,62,109,35,21,35,32,32,0,193,0,695,40,0,0,0,0,0,0,0,1524
13,2,720,540,true,30,9,5,0.686690,0.377016,0.925323,1.761943,7.304860,0.272967,0.326245,1.120843,18,12,5,15,7,68,68,57,57,95,34,22,34,30,30,0,189,0,579,49,0,0,0,0,0,0,0,1448
13,3,720,540,false,0,0,0,,,,2.476435,11.196633,0.350497,,,26,18,35,1,0,112,112,80,80,91,16,39,0,,0,0,255,0,836,70,0,0,0,0,0,0,0,1341
13,4,720,540,true,39,11,6,0.838605,0.463409,0.999978,2.352987,6.653834,0.303211,0.424137,1.004784,19,19,5,16,14,105,105,73,73,133,45,25,45,39,39,0,90,0,541,34,0,0,0,0,0,0,0,1622
13,5,720,540,true,29,10,4,0.762434,0.405358,0.892624,2.097970,7.990010,0.349260,0.375374,1.048913,31,9,10,18,9,97,97,77,77,119,36,36,36,29,29,0,197,0,861,69,0,0,0,0,0,0,0,1664
14,0,720,540,true,20,14,4,0.765820,17.027945,31.166567,1.513970,6.214393,0.260506,18.618271,30.712479,25,14,28,8,2,98,98,77,77,102,31,35,26,20,20,0,220,0,883,29,0,0,0,0,0,0,0,1495
14,1,720,540,true,33,11,6,0.815753,0.288910,0.499016,1.910581,4.609401,0.300628,0.289421,0.714512,24,15,11,14,13,100,100,77,77,131,41,30,41,33,33,0,204,0,821,50,0,0,0,0,0,0,0,1627
14,2,720,540,true,40,13,5,0.914851,0.435380,0.801857,2.807290,7.559503,0.257431,0.400125,0.762260,27,11,11,19,13,109,109,81,81,142,46,32,46,40,40,0,56,0,614,42,0,0,0,0,0,0,0,1695
14,3,720,540,true,21,10,5,0.641881,10.052862,20.961315,1.653042,5.213006,0.313165,0.862858,26.636724,29,13,22,8,10,101,101,82,82,121,39,39,33,21,21,0,42,0,586,22,0,0,0,0,0,0,0,1524
14,4,720,540,true,40,13,5,0.941486,0.331846,0.809306,2.195482,7.144556,0.304880,0.315471,0.945168,30,17,7,17,19,117,117,90,90,158,50,36,50,40,40,0,57,0,778,56,0,0,0,0,0,0,0,1773
14,5,720,540,true,40,13,6,0.966125,0.363592,0.637469,1.979498,6.865617,0.304901,0.329830,0.596107,22,12,10,22,11,102,102,77,77,142,52,24,52,40,40,0,242,0,766,26,0,0,0,0,0,0,0,1709
15,0,720,540,false,0,0,0,,,,2.376947,6.891415,0.394506,,,30,13,27,4,2,115,115,76,76,87,31,41,0,,0,0,204,0,753,47,0,0,0,0,0,0,0,1448
15,1,720,540,true,29,9,5,0.629973,0.424551,0.940611,1.907494,4.143289,0.349822,0.372653,0.716725,22,11,12,9,8,93,93,62,62,94,32,26,32,29,29,0,171,0,656,52,0,0,0,0,0,0,0,2141
15,2,720,540,true,36,13,5,0.881447,0.255547,0.464066,3.472993,7.295441,0.272636,0.258950,0.654236,38,5,9,16,19,117,117,87,87,147,48,40,48,36,36,0,50,0,651,41,0,0,0,0,0,0,0,1641
15,3,720,540,true,20,8,6,0.575784,7.503500,16.742605,1.902044,4.255508,0.345635,0.339145,0.620333,30,15,19,7,6,101,101,77,77,98,31,39,26,20,20,0,60,0,568,12,0,0,0,0,0,0,0,1498
15,4,720,540,true,36,11,5,0.794771,0.316601,0.655384,2.680754,7.067238,0.235080,0.330552,0.795327,35,6,7,16,18,111,111,82,82,140,45,37,45,36,36,0,48,0,643,63,0,0,0,0,0,0,0,1719
15,5,720,540,true,40,13,5,0.940001,0.351488,0.614428,1.897932,6.308069,0.321221,0.265075,0.642078,26,16,13,22,9,120,120,86,86,144,54,30,54,40,40,0,259,0,915,70,0,0,0,0,0,0,0,1817
16,0,720,540,false,0,0,0,,,,1.697780,5.542767,0.320434,,,23,14,33,3,1,98,98,74,74,93,16,37,0,,0,0,203,0,811,43,0,0,0,0,0,0,0,4241
16,1,720,540,true,40,12,6,0.898988,0.392277,0.631860,2.041161,5.444754,0.272061,0.365265,0.750358,29,7,7,19,19,105,105,81,81,154,52,30,52,40,40,0,52,0,508,34,0,0,0,0,0,0,0,1733
16,2,720,540,true,35,12,5,0.856876,0.291316,0.398412,3.258601,7.186138,0.233254,0.270578,0.707363,25,6,11,20,12,98,98,74,74,136,49,26,49,35,35,0,253,0,737,42,0,0,0,0,0,0,0,1655
