target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
16,3,720,540,true,49,10,9,0.894188,0.669792,1.228837,1.647892,6.016263,0.235030,,,28,9,14,7,23,117,117,81,81,150,49,31,49,,49,0,48,0,467,17,0,0,0,0,0,0,0,1865
16,4,720,540,true,44,11,6,0.782176,0.803280,4.499624,2.125090,6.478024,0.311517,,,29,13,13,15,18,115,115,88,88,156,53,33,53,,44,0,210,0,997,90,0,0,0,0,0,0,0,2207
16,5,720,540,true,54,13,6,0.928603,0.700905,1.327707,2.523646,6.184955,0.238593,,,37,7,13,15,21,123,123,93,93,162,54,39,54,,54,0,70,0,724,54,0,0,0,0,0,0,0,2026
17,0,720,540,false,0,0,0,,,,1.906907,4.756079,0.284016,,,30,15,39,0,0,130,130,84,84,93,29,45,0,,0,0,201,0,886,75,0,0,0,0,0,0,0,1874
17,1,720,540,true,52,13,7,0.932668,0.675545,1.071727,2.217544,5.418266,0.327491,,,26,14,10,20,15,138,138,85,85,154,52,30,52,,52,0,225,0,887,87,0,0,0,0,0,0,0,2496
17,2,720,540,true,47,11,5,0.741634,0.762765,1.404860,2.364816,7.082401,0.225794,,,27,6,12,16,15,118,118,76,76,138,47,29,47,,47,0,222,0,822,76,0,0,0,0,0,0,0,2405
17,3,720,540,true,44,11,8,0.859786,0.554776,1.391527,1.837522,6.253707,0.291584,,,24,16,9,13,13,110,110,75,75,125,44,28,44,,44,0,68,0,572,33,0,0,0,0,0,0,0,1904
17,4,720,540,true,49,13,7,0.908707,0.505295,1.285122,1.866841,5.536838,0.259816,,,35,14,5,19,16,124,124,89,89,145,49,38,49,,49,0,66,0,615,59,0,0,0,0,0,0,0,2688
17,5,720,540,true,47,11,6,0.782104,0.614735,1.458169,1.939077,7.036516,0.372849,,,33,16,10,14,14,118,118,87,87,134,47,37,47,,47,0,50,0,751,69,0,0,0,0,0,0,0,2118
18,0,720,540,true,30,15,7,0.935689,27.673590,62.501003,1.857620,5.666393,0.425351,,,31,19,32,9,9,127,127,100,100,146,41,44,38,,30,0,61,0,914,45,0,0,0,0,0,0,0,2002
